epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.407,1.93689,2.59816,1.70224,0.49698,0.22444,0.19667,0.08192,1.55764,6.34355,1.47656,5e-05,5e-05,0.09505
2,205.722,1.51554,2.41419,1.41113,0.23468,0.40463,0.32223,0.21394,1.22522,8.61549,1.25878,0.000109973,0.000109973,0.08911
3,291.835,1.42949,1.55965,1.37463,0.27176,0.5387,0.35139,0.23357,1.18847,6.69821,1.20801,0.000169834,0.000169834,0.0831698
4,378.442,1.13568,1.26651,1.20725,0.46039,0.45611,0.48071,0.32133,1.01275,2.86446,1.08536,0.000229495,0.000229495,0.0772295
5,454.291,1.18319,1.09426,1.19121,0.78031,0.49756,0.51208,0.36596,0.94591,1.82262,1.05793,0.000288868,0.000288868,0.0712889
6,523.2,1.1784,1.19737,1.24882,0.44756,0.48141,0.5092,0.38288,0.90706,1.31732,1.06616,0.000347867,0.000347867,0.0653479
7,597.62,1.03839,1.11383,1.21502,0.54778,0.44611,0.53335,0.39433,0.94425,1.12039,1.06632,0.000406405,0.000406405,0.0594064
8,664.099,1.22774,1.18735,1.28467,0.54778,0.44611,0.53335,0.39433,0.94425,1.12039,1.06632,0.000464397,0.000464397,0.0534644
9,743.306,1.10905,0.94753,1.13244,0.56952,0.58425,0.605,0.45751,0.91428,1.07705,1.02109,0.000521758,0.000521758,0.0475218
10,827.523,1.14055,1.01239,1.15522,0.53043,0.5974,0.61224,0.47521,0.8568,1.44786,0.98749,0.000578404,0.000578404,0.0415784
11,904.105,1.02377,0.89303,1.08139,0.53043,0.5974,0.61224,0.47521,0.8568,1.44786,0.98749,0.000634252,0.000634252,0.0356343
12,985.821,1.01692,0.90761,1.12053,0.52968,0.53445,0.57399,0.46322,0.72151,1.17578,0.95374,0.000689223,0.000689223,0.0296892
13,1067.67,1.05517,0.85312,1.11798,0.52968,0.53445,0.57399,0.46322,0.72151,1.17578,0.95374,0.000743234,0.000743234,0.0237432
14,1143.02,1.26665,0.90139,1.28766,0.52968,0.53445,0.57399,0.46322,0.72151,1.17578,0.95374,0.000796209,0.000796209,0.0177962
15,1219.52,1.00408,0.95661,1.15695,0.86296,0.51257,0.53948,0.42308,0.78011,1.12919,0.97616,0.000848072,0.000848072,0.0118481
16,1301.76,1.04005,0.93604,1.16038,0.86296,0.51257,0.53948,0.42308,0.78011,1.12919,0.97616,0.000898746,0.000898746,0.00589875
17,1381.55,1.0149,0.88935,1.12895,0.84644,0.58167,0.56266,0.40592,0.98021,1.10455,1.06819,0.000938772,0.000938772,0.000938772
18,1459.38,1.10571,0.95327,1.21322,0.84644,0.58167,0.56266,0.40592,0.98021,1.10455,1.06819,0.000931067,0.000931067,0.000931067
19,1538.89,0.97269,0.80723,1.09571,0.84644,0.58167,0.56266,0.40592,0.98021,1.10455,1.06819,0.000922942,0.000922942,0.000922942
20,1622,0.9821,0.82664,1.08532,0.94088,0.59833,0.5983,0.45566,0.82898,0.78283,1.00733,0.000914405,0.000914405,0.000914405
21,1701.29,0.89341,0.76202,1.02718,0.94088,0.59833,0.5983,0.45566,0.82898,0.78283,1.00733,0.000905463,0.000905463,0.000905463
22,1781.36,1.09291,0.94474,1.26106,0.94088,0.59833,0.5983,0.45566,0.82898,0.78283,1.00733,0.000896127,0.000896127,0.000896127
23,1863.38,0.89081,0.74962,1.05504,0.95331,0.60362,0.6177,0.49402,0.80562,0.68965,1.00337,0.000886404,0.000886404,0.000886404
24,1947.46,0.92618,0.76519,1.06888,0.95331,0.60362,0.6177,0.49402,0.80562,0.68965,1.00337,0.000876305,0.000876305,0.000876305
25,2018.33,0.93787,0.76924,1.09674,0.92815,0.62488,0.61384,0.47795,0.86813,0.74778,1.00539,0.000865839,0.000865839,0.000865839
26,2087.17,0.88923,0.81966,1.05316,0.92815,0.62488,0.61384,0.47795,0.86813,0.74778,1.00539,0.000855018,0.000855018,0.000855018
27,2158.16,0.95214,0.74153,1.08792,0.92815,0.62488,0.61384,0.47795,0.86813,0.74778,1.00539,0.000843851,0.000843851,0.000843851
28,2238.89,0.88224,0.76706,1.0717,0.92682,0.61811,0.61029,0.45878,0.93653,0.84193,0.99987,0.000832349,0.000832349,0.000832349
29,2321.01,0.92191,0.66887,1.01161,0.92682,0.61811,0.61029,0.45878,0.93653,0.84193,0.99987,0.000820525,0.000820525,0.000820525
30,2395.04,0.99685,0.83252,1.10551,0.92682,0.61811,0.61029,0.45878,0.93653,0.84193,0.99987,0.000808389,0.000808389,0.000808389
31,2475.76,0.80146,0.66324,0.99385,0.95803,0.61789,0.60983,0.4723,0.83352,0.68915,0.97623,0.000795954,0.000795954,0.000795954
32,2558.1,0.85393,0.65016,1.09349,0.95803,0.61789,0.60983,0.4723,0.83352,0.68915,0.97623,0.000783231,0.000783231,0.000783231
33,2641.29,0.81876,0.68605,1.03806,0.93669,0.62895,0.61062,0.47827,0.84102,0.66052,0.98737,0.000770234,0.000770234,0.000770234
34,2716.05,0.95694,0.71172,1.11585,0.93669,0.62895,0.61062,0.47827,0.84102,0.66052,0.98737,0.000756976,0.000756976,0.000756976
35,2794.36,0.91446,0.69864,1.07624,0.93669,0.62895,0.61062,0.47827,0.84102,0.66052,0.98737,0.000743468,0.000743468,0.000743468
36,2875.36,0.91022,0.73323,1.0977,0.90645,0.6298,0.60859,0.47337,0.82856,0.64075,0.98008,0.000729725,0.000729725,0.000729725
37,2954.36,0.94798,0.68642,1.09737,0.90645,0.6298,0.60859,0.47337,0.82856,0.64075,0.98008,0.000715761,0.000715761,0.000715761
38,3027.07,0.86919,0.66111,1.05251,0.90645,0.6298,0.60859,0.47337,0.82856,0.64075,0.98008,0.000701588,0.000701588,0.000701588
39,3114.14,0.88498,0.64554,1.04242,0.88015,0.63088,0.60685,0.48497,0.74297,0.61492,0.9632,0.000687222,0.000687222,0.000687222
40,3190.64,0.85966,0.73878,1.1042,0.88015,0.63088,0.60685,0.48497,0.74297,0.61492,0.9632,0.000672675,0.000672675,0.000672675
41,3264.03,0.93955,0.71092,1.12347,0.90364,0.61274,0.61407,0.49934,0.7178,0.61577,0.95394,0.000657963,0.000657963,0.000657963
42,3336.65,0.82667,0.60537,1.00335,0.90364,0.61274,0.61407,0.49934,0.7178,0.61577,0.95394,0.000643101,0.000643101,0.000643101
43,3419.47,0.91039,0.81183,1.16421,0.90364,0.61274,0.61407,0.49934,0.7178,0.61577,0.95394,0.000628101,0.000628101,0.000628101
44,3499.72,0.98447,0.87152,1.15276,0.90185,0.61935,0.61332,0.48863,0.77303,0.61223,0.97022,0.000612981,0.000612981,0.000612981
45,3580.13,0.87034,0.59108,1.04279,0.90185,0.61935,0.61332,0.48863,0.77303,0.61223,0.97022,0.000597754,0.000597754,0.000597754
46,3654.65,0.85708,0.83048,1.05946,0.90185,0.61935,0.61332,0.48863,0.77303,0.61223,0.97022,0.000582435,0.000582435,0.000582435
47,3734.94,0.83998,0.63281,1.03872,0.91585,0.62325,0.61351,0.49166,0.76108,0.6257,0.96656,0.00056704,0.00056704,0.00056704
48,3813.7,1.06029,1.19897,1.21452,0.91585,0.62325,0.61351,0.49166,0.76108,0.6257,0.96656,0.000551584,0.000551584,0.000551584
49,3901.51,0.92458,0.72776,1.08621,0.91972,0.62226,0.61425,0.50306,0.71341,0.59684,0.94778,0.000536081,0.000536081,0.000536081
50,3993.56,0.84161,0.60706,1.0616,0.91972,0.62226,0.61425,0.50306,0.71341,0.59684,0.94778,0.000520548,0.000520548,0.000520548
51,4090.55,0.98004,0.80818,1.17528,0.91972,0.62226,0.61425,0.50306,0.71341,0.59684,0.94778,0.000505,0.000505,0.000505
52,4191.14,0.74888,0.62743,1.03063,0.92132,0.62114,0.61749,0.49437,0.74382,0.57869,0.95822,0.000489452,0.000489452,0.000489452
53,4286.28,0.82911,0.65546,1.06696,0.92132,0.62114,0.61749,0.49437,0.74382,0.57869,0.95822,0.000473919,0.000473919,0.000473919
